,uci_moves
0,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 f1c4
1,e2e4 g8f6 e4e5 f6g8
2,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 e5d6
3,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4
4,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 g7g6
5,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 d6e5 f4e5 b8c6 c1e3
6,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 c8f5
7,e2e4 g8f6
8,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5 b6d5 b1c3 e7e6 f1c4
9,e2e4 g8f6 d2d3
10,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3
11,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6
12,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 c2c4 d5b6 f1e2
13,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6 f1c4 d5b6 c4b3 f8g7 a2a4
14,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d6e5
15,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d6e5 f3e5 c7c6
16,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 b8c6
17,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4
18,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 c8g4 h2h3
19,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 d5b6
20,e2e4 g8f6 e4e5 f6d5
21,e2e4 g8f6 e4e5 f6d5 d2d4 d7d6
22,e2e4 g8f6 e4e5 f6d5 b1c3
23,e2e4 g8f6 b1c3 d7d5
24,e2e4 g8f6 b1c3 d7d5 e4e5 f6d7 e5e6
25,e2e4 g8f6 e4e5 f6d5 c2c4
26,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 c4c5
27,a2a3
28,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 g7g6 b1c3 c8a6 f2f4
29,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 f2f3
30,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 g7g6 g1f3 d7d6 g2g3 f8g7 f1g2
31,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6
32,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 d7d6 e2e4 a6f1 e1f1 g7g6 g2g3 f8g7 f1g2 e8g8 g1f3
33,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 e2e3
34,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5b6
35,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 d7d6 e2e4 a6f1 e1f1 g7g6 g1e2
36,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b5a6 c8a6 b1c3 d7d6 e2e4
37,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c1g5
38,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 g1f3
39,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 f2f3
40,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 b1d2
41,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 a2a4
42,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5
43,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b1c3
44,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c4b5 a7a6 b1c3 a6b5 e2e4 b5b4 c3b5
